Format,Metric,Year,Number of Records,Value (Actual)
CD,Units,1973-01-01,1,29.266338245
CD,Units,1974-01-01,1,29.266338245
CD,Units,1975-01-01,1,29.266338245
CD,Units,1976-01-01,1,29.266338245
CD,Units,1977-01-01,1,29.266338245
CD,Units,1978-01-01,1,29.266338245
CD,Units,1979-01-01,1,29.266338245
CD,Units,1980-01-01,1,29.266338245
CD,Units,1981-01-01,1,29.266338245
CD,Units,1982-01-01,1,29.266338245
CD,Units,1983-01-01,1,0.8
CD,Units,1984-01-01,1,5.8
CD,Units,1985-01-01,1,22.6
CD,Units,1986-01-01,1,53.0
CD,Units,1987-01-01,1,102.1
CD,Units,1988-01-01,1,149.7
CD,Units,1989-01-01,1,207.2
CD,Units,1990-01-01,1,286.5
CD,Units,1991-01-01,1,333.3
CD,Units,1992-01-01,1,407.5
CD,Units,1993-01-01,1,495.4
CD,Units,1994-01-01,1,662.1
CD,Units,1995-01-01,1,722.9
CD,Units,1996-01-01,1,778.9
CD,Units,1997-01-01,1,753.1
CD,Units,1998-01-01,1,847.0
CD,Units,1999-01-01,1,938.9
CD,Units,2000-01-01,1,942.5
CD,Units,2001-01-01,1,881.9
CD,Units,2002-01-01,1,803.3
CD,Units,2003-01-01,1,746.0
CD,Units,2004-01-01,1,767.0
CD,Units,2005-01-01,1,705.4
CD,Units,2006-01-01,1,619.7
CD,Units,2007-01-01,1,499.7
CD,Units,2008-01-01,1,368.4
CD,Units,2009-01-01,1,296.6
CD,Units,2010-01-01,1,253.0
CD,Units,2011-01-01,1,240.8
CD,Units,2012-01-01,1,198.1643872
CD,Units,2013-01-01,1,173.7933029
CD,Units,2014-01-01,1,138.7023634
CD,Units,2015-01-01,1,117.1440518
CD,Units,2016-01-01,1,97.5770712
CD,Units,2017-01-01,1,87.68249997
CD,Units,2018-01-01,1,51.95427564
CD,Units,2019-01-01,1,46.50649558
CD Single,Units,1973-01-01,1,29.266338245
CD Single,Units,1974-01-01,1,29.266338245
CD Single,Units,1975-01-01,1,29.266338245
CD Single,Units,1976-01-01,1,29.266338245
CD Single,Units,1977-01-01,1,29.266338245
CD Single,Units,1978-01-01,1,29.266338245
CD Single,Units,1979-01-01,1,29.266338245
CD Single,Units,1980-01-01,1,29.266338245
CD Single,Units,1981-01-01,1,29.266338245
CD Single,Units,1982-01-01,1,29.266338245
CD Single,Units,1983-01-01,1,29.266338245
CD Single,Units,1984-01-01,1,29.266338245
CD Single,Units,1985-01-01,1,29.266338245
CD Single,Units,1986-01-01,1,29.266338245
CD Single,Units,1987-01-01,1,29.266338245
CD Single,Units,1988-01-01,1,1.6
CD Single,Units,1989-01-01,1,0.1
CD Single,Units,1990-01-01,1,1.1
CD Single,Units,1991-01-01,1,5.7
CD Single,Units,1992-01-01,1,7.3
CD Single,Units,1993-01-01,1,7.8
CD Single,Units,1994-01-01,1,9.3
CD Single,Units,1995-01-01,1,21.5
CD Single,Units,1996-01-01,1,43.2
CD Single,Units,1997-01-01,1,66.7
CD Single,Units,1998-01-01,1,56.0
CD Single,Units,1999-01-01,1,55.9
CD Single,Units,2000-01-01,1,34.2
CD Single,Units,2001-01-01,1,17.3
CD Single,Units,2002-01-01,1,4.5
CD Single,Units,2003-01-01,1,8.3
CD Single,Units,2004-01-01,1,3.1
CD Single,Units,2005-01-01,1,2.8
CD Single,Units,2006-01-01,1,1.7
CD Single,Units,2007-01-01,1,2.6
CD Single,Units,2008-01-01,1,0.7
CD Single,Units,2009-01-01,1,0.9
CD Single,Units,2010-01-01,1,1.0
CD Single,Units,2011-01-01,1,1.3
CD Single,Units,2012-01-01,1,1.072870407
CD Single,Units,2013-01-01,1,0.628895398
CD Single,Units,2014-01-01,1,0.928725116
CD Single,Units,2015-01-01,1,0.386721563
CD Single,Units,2016-01-01,1,0.121745255
CD Single,Units,2017-01-01,1,0.13261663
CD Single,Units,2018-01-01,1,0.020854078
CD Single,Units,2019-01-01,1,0.026257455
Cassette,Units,1973-01-01,1,15.0
Cassette,Units,1974-01-01,1,15.3
Cassette,Units,1975-01-01,1,16.2
Cassette,Units,1976-01-01,1,21.8
Cassette,Units,1977-01-01,1,36.9
Cassette,Units,1978-01-01,1,61.3
Cassette,Units,1979-01-01,1,78.5
Cassette,Units,1980-01-01,1,99.0
Cassette,Units,1981-01-01,1,124.0
Cassette,Units,1982-01-01,1,183.2
Cassette,Units,1983-01-01,1,236.8
Cassette,Units,1984-01-01,1,332.0
Cassette,Units,1985-01-01,1,339.1
Cassette,Units,1986-01-01,1,344.5
Cassette,Units,1987-01-01,1,410.0
Cassette,Units,1988-01-01,1,450.1
Cassette,Units,1989-01-01,1,446.2
Cassette,Units,1990-01-01,1,442.2
Cassette,Units,1991-01-01,1,360.1
Cassette,Units,1992-01-01,1,366.4
Cassette,Units,1993-01-01,1,339.5
Cassette,Units,1994-01-01,1,345.4
Cassette,Units,1995-01-01,1,272.6
Cassette,Units,1996-01-01,1,225.3
Cassette,Units,1997-01-01,1,172.6
Cassette,Units,1998-01-01,1,158.5
Cassette,Units,1999-01-01,1,123.6
Cassette,Units,2000-01-01,1,76.0
Cassette,Units,2001-01-01,1,45.0
Cassette,Units,2002-01-01,1,31.1
Cassette,Units,2003-01-01,1,17.2
Cassette,Units,2004-01-01,1,5.2
Cassette,Units,2005-01-01,1,2.5
Cassette,Units,2006-01-01,1,0.7
Cassette,Units,2007-01-01,1,0.4
Cassette,Units,2008-01-01,1,0.1
Cassette,Units,2009-01-01,1,0.0
Cassette,Units,2010-01-01,1,0.0
Cassette,Units,2011-01-01,1,0.0
Cassette,Units,2012-01-01,1,29.266338245
Cassette,Units,2013-01-01,1,29.266338245
Cassette,Units,2014-01-01,1,29.266338245
Cassette,Units,2015-01-01,1,29.266338245
Cassette,Units,2016-01-01,1,29.266338245
Cassette,Units,2017-01-01,1,29.266338245
Cassette,Units,2018-01-01,1,29.266338245
Cassette,Units,2019-01-01,1,29.266338245
Cassette Single,Units,1973-01-01,1,29.266338245
Cassette Single,Units,1974-01-01,1,29.266338245
Cassette Single,Units,1975-01-01,1,29.266338245
Cassette Single,Units,1976-01-01,1,29.266338245
Cassette Single,Units,1977-01-01,1,29.266338245
Cassette Single,Units,1978-01-01,1,29.266338245
Cassette Single,Units,1979-01-01,1,29.266338245
